id,name,img_file,calories,protein,fat,carb,sugar,sodium,salty,sweet,sour,bitter,spicy,restrict,note
1,ข้าวกะเพราหมูกรอบ,food1.jpg,754,14.3,54,50.5,1.4,1.59,10,5,0,0,10,none,none
2,ข้าวมันไก่ เนื้อสะโพก ติดหนัง,food2.jpg,765,27.5,32.2,89.1,7.2,2.58,7,3,0,0,0,none,none
3,ข้าวหมูทอดกระเทียม,food3.jpg,371,27.3,4.5,46,0,0.64,8,0,0,0,0,none,none
4,ไอศกรีมวนิลา,food4.jpg,137,3.5,11,23.6,21.2,0.8,0,10,0,0,0,none,none
5,ไอศกรีมช็อกโกแลต,food5.jpg,216,3.8,11,28.2,25.4,0.76,0,10,0,0,0,none,none
6,ไอศกรีมสตอเบอรี่,food6.jpg,192,3.2,8.4,27.6,4.6,0.6,0,10,7,0,0,none,none
7,น้ำส้มคั้น,food7.jpg,45,0.7,0.2,10.4,8.4,0.01,1,8,7,0,0,none,none
8,น้ำเปล่า,food8.jpg,0,0,0,0,0,0.04,0,0,0,0,0,none,none
9,น้ำองุ่น,food9.jpg,57,0,0,14.6,14.1,0.09,0,8,4,0,0,none,none
10,กาแฟดำ,food10.jpg,1,0.1,0,0,0,0.02,0,0,0,7,0,none,none
11,ชานม,food11.jpg,50,3.3,2,4.8,5.1,0.47,0,10,0,0,0,none,none
12,โค๊ก,food12.jpg,132,0,0,33,33,0.15,0,7,0,0,0,none,none
13,ไก่ทอด,food13.jpg,245,30,12,1.8,0,0,8,0,0,0,0,none,none
14,ก๋วยเตี๋ยวบะหมี่แห้งหมูมะนาว,food14.jpg,947,47.4,55,80.5,20.7,2.52,7,3,6,0,5,none,none
15,มาม่าเกาหลี,food15.jpg,510,12,22,66,6,29.6,8,3,0,0,10,none,none
